1906,KABUPATEN BELITUNG TIMUR
1971,KOTA PANGKAL PINANG
2101,KABUPATEN KARIMUN
2102,KABUPATEN BINTAN
2103,KABUPATEN NATUNA
2104,KABUPATEN LINGGA
2105,KABUPATEN KEPULAUAN ANAMBAS
2171,KOTA B A T A M
2172,KOTA TANJUNG PINANG
3101,KABUPATEN KEPULAUAN SERIBU
3171,KOTA JAKARTA SELATAN
3172,KOTA JAKARTA TIMUR
3173,KOTA JAKARTA PUSAT
3174,KOTA JAKARTA BARAT
3175,KOTA JAKARTA UTARA
3201,KABUPATEN BOGOR
3202,KABUPATEN SUKABUMI
3203,KABUPATEN CIANJUR
3204,KABUPATEN BANDUNG
3205,KABUPATEN GARUT
3206,KABUPATEN TASIKMALAYA
3207,KABUPATEN CIAMIS
3208,KABUPATEN KUNINGAN
3209,KABUPATEN CIREBON
3210,KABUPATEN MAJALENGKA
3211,KABUPATEN SUMEDANG
3212,KABUPATEN INDRAMAYU
3213,KABUPATEN SUBANG
3214,KABUPATEN PURWAKARTA
3215,KABUPATEN KARAWANG
3216,KABUPATEN BEKASI
3217,KABUPATEN BANDUNG BARAT
3218,KABUPATEN PANGANDARAN
3271,KOTA BOGOR
3272,KOTA SUKABUMI
3273,KOTA BANDUNG
3274,KOTA CIREBON
3275,KOTA BEKASI
3276,KOTA DEPOK
3277,KOTA CIMAHI
3278,KOTA TASIKMALAYA
3279,KOTA BANJAR
3301,KABUPATEN CILACAP
3302,KABUPATEN BANYUMAS
3303,KABUPATEN PURBALINGGA
3304,KABUPATEN BANJARNEGARA
3305,KABUPATEN KEBUMEN
3306,KABUPATEN PURWOREJO
3307,KABUPATEN WONOSOBO
3308,KABUPATEN MAGELANG
3309,KABUPATEN BOYOLALI
3310,KABUPATEN KLATEN
3311,KABUPATEN SUKOHARJO
3312,KABUPATEN WONOGIRI
3313,KABUPATEN KARANGANYAR
3314,KABUPATEN SRAGEN
3315,KABUPATEN GROBOGAN
3316,KABUPATEN BLORA
3317,KABUPATEN REMBANG
3318,KABUPATEN PATI
3319,KABUPATEN KUDUS
3320,KABUPATEN JEPARA
3321,KABUPATEN DEMAK
3322,KABUPATEN SEMARANG
3323,KABUPATEN TEMANGGUNG
3324,KABUPATEN KENDAL
3325,KABUPATEN BATANG
3326,KABUPATEN PEKALONGAN
3327,KABUPATEN PEMALANG
